label,model,layer_name,type,input_shape,output_shape,intensity,perf_gflops
FT-FC1,fc_tiny,net.1,Linear,1x9216,1x128,0.4960172228202368,0.05952206673842842
FT-ReLU1,fc_tiny,net.2,ReLU,1x128,1x128,0.125,0.015
FT-FC2,fc_tiny,net.3,Linear,1x128,1x4,0.3950617283950617,0.04740740740740741
FS-FC1,fc_small,net.1,Linear,1x9216,1x256,0.4979468338015993,0.05975362005619191
FS-ReLU1,fc_small,net.2,ReLU,1x256,1x256,0.125,0.015
FS-FC2,fc_small,net.4,Linear,1x256,1x64,0.48854961832061067,0.05862595419847328
FS-ReLU2,fc_small,net.5,ReLU,1x64,1x64,0.125,0.015
FS-FC3,fc_small,net.6,Linear,1x64,1x4,0.3902439024390244,0.046829268292682934
CT-Conv1,cnn_tiny,features.0,Conv2d,1x1x96x96,1x4x96x96,3.596877710320902,0.06
CT-ReLU1,cnn_tiny,features.1,ReLU,1x4x96x96,1x4x96x96,0.125,0.015
CT-MaxPool1,cnn_tiny,features.2,MaxPool2d,1x4x96x96,1x4x48x48,0.15,0.018
CT-Conv2,cnn_tiny,features.3,Conv2d,1x4x48x48,1x8x48x48,11.87288863441168,0.06
CT-ReLU2,cnn_tiny,features.4,ReLU,1x8x48x48,1x8x48x48,0.125,0.015
CT-MaxPool2,cnn_tiny,features.5,MaxPool2d,1x8x48x48,1x8x24x24,0.15,0.018
CT-FC1,cnn_tiny,classifier.1,Linear,1x4608,1x64,0.49209739427595045,0.059051687313114054
CT-ReLU3,cnn_tiny,classifier.2,ReLU,1x64,1x64,0.125,0.015
CT-FC2,cnn_tiny,classifier.3,Linear,1x64,1x4,0.3902439024390244,0.046829268292682934
CG-Conv1,cnn_gap,features.0,Conv2d,1x1x96x96,1x4x96x96,3.596877710320902,0.06
CG-ReLU1,cnn_gap,features.1,ReLU,1x4x96x96,1x4x96x96,0.125,0.015
CG-MaxPool1,cnn_gap,features.2,MaxPool2d,1x4x96x96,1x4x48x48,0.15,0.018
CG-Conv2,cnn_gap,features.3,Conv2d,1x4x48x48,1x8x48x48,11.87288863441168,0.06
CG-ReLU2,cnn_gap,features.4,ReLU,1x8x48x48,1x8x48x48,0.125,0.015
CG-MaxPool2,cnn_gap,features.5,MaxPool2d,1x8x48x48,1x8x24x24,0.15,0.018
CG-Conv3,cnn_gap,features.6,Conv2d,1x8x24x24,1x16x24x24,22.130202774813235,0.06
CG-ReLU3,cnn_gap,features.7,ReLU,1x16x24x24,1x16x24x24,0.125,0.015
CG-AvgPool1,cnn_gap,features.8,AdaptiveAvgPool2d,1x16x24x24,1x16x1x1,0.24956672443674177,0.02994800693240901
CG-FC1,cnn_gap,classifier,Linear,1x16,1x4,0.36363636363636365,0.04363636363636363
SP-MaxPool1,cnn_skip_pool,skip_pool,MaxPool2d,1x1x96x96,1x1x12x12,0.2423076923076923,0.029076923076923077
SP-Conv1,cnn_skip_pool,conv.0,Conv2d,1x1x96x96,1x4x48x48,2.24512776093547,0.06
SP-ReLU1,cnn_skip_pool,conv.1,ReLU,1x4x48x48,1x4x48x48,0.125,0.015
SP-MaxPool2,cnn_skip_pool,conv.2,MaxPool2d,1x4x48x48,1x4x48x48,1.0,0.06
SP-Conv2,cnn_skip_pool,conv.3,Conv2d,1x4x48x48,1x8x24x24,5.874220963172805,0.06
SP-ReLU2,cnn_skip_pool,conv.4,ReLU,1x8x24x24,1x8x24x24,0.125,0.015
SP-MaxPool3,cnn_skip_pool,conv.5,MaxPool2d,1x8x24x24,1x8x24x24,1.0,0.06
SP-Conv3,cnn_skip_pool,conv.6,Conv2d,1x8x24x24,1x12x12x12,8.625623960066555,0.06
SP-ReLU3,cnn_skip_pool,conv.7,ReLU,1x12x12x12,1x12x12x12,0.125,0.015
SP-MaxPool4,cnn_skip_pool,conv.8,MaxPool2d,1x12x12x12,1x12x12x12,1.0,0.06
SP-Conv4,cnn_skip_pool,conv.9,Conv2d,1x12x12x12,1x12x12x12,19.58690176322418,0.06
SP-ReLU4,cnn_skip_pool,conv.10,ReLU,1x12x12x12,1x12x12x12,0.125,0.015
SP-Conv5,cnn_skip_pool,conv.11,Conv2d,1x12x12x12,1x16x12x12,21.54016620498615,0.06
SP-ReLU5,cnn_skip_pool,conv.12,ReLU,1x16x12x12,1x16x12x12,0.125,0.015
SP-FC1,cnn_skip_pool,classifier.1,Linear,1x2448,1x4,0.3997387328543436,0.04796864794252123
