model,epoch,loss,accuracy,val_loss,val_accuracy
cnn_skip_pool_tf,1,1.2040801048278809,0.4993489682674408,1.1059579849243164,0.553530752658844
cnn_skip_pool_tf,2,1.0200272798538208,0.5787760615348816,0.950800359249115,0.5968109369277954
cnn_skip_pool_tf,3,0.9031412601470947,0.6243489384651184,0.8622657656669617,0.6628701686859131
cnn_skip_pool_tf,4,0.8257457613945007,0.6692708134651184,0.8573189377784729,0.6583143472671509
cnn_skip_pool_tf,5,0.7737292647361755,0.6822916865348816,0.8238641023635864,0.6856492161750793
cnn_skip_pool_tf,6,0.7553064227104187,0.7057291865348816,0.7933744192123413,0.6810933947563171
cnn_skip_pool_tf,7,0.7048659324645996,0.7194010615348816,0.7725927829742432,0.6902050375938416
cnn_skip_pool_tf,8,0.6663326621055603,0.7272135615348816,0.7409672141075134,0.7198177576065063
cnn_skip_pool_tf,9,0.6506026387214661,0.7395833134651184,0.7231253385543823,0.7175398468971252
cnn_skip_pool_tf,10,0.6184351444244385,0.755859375,0.7410954236984253,0.7243735790252686
cnn_skip_pool_tf,11,0.5857969522476196,0.7701823115348816,0.6926073431968689,0.7357630729675293
cnn_skip_pool_tf,12,0.5673503279685974,0.7845051884651184,0.7359452843666077,0.7152619361877441
cnn_skip_pool_tf,13,0.537159264087677,0.7845051884651184,0.7273106575012207,0.7266514897346497
cnn_skip_pool_tf,14,0.5271419882774353,0.7942708134651184,0.7457466721534729,0.7220956683158875
cnn_skip_pool_tf,15,0.4990912675857544,0.8079426884651184,0.7074214220046997,0.7471526265144348
cnn_skip_pool_tf,16,0.4929698705673218,0.8111979365348816,0.6830854415893555,0.7562642097473145
cnn_skip_pool_tf,17,0.44030502438545227,0.8346354365348816,0.6960839033126831,0.7653758525848389
cnn_skip_pool_tf,18,0.42277851700782776,0.8411458134651184,0.670910120010376,0.7539863586425781
cnn_skip_pool_tf,19,0.40625759959220886,0.8424479365348816,0.7662930488586426,0.7357630729675293
cnn_skip_pool_tf,20,0.39872872829437256,0.853515625,0.6872953176498413,0.7608200311660767
cnn_skip_pool_tf_qat,1,0.4023545980453491,0.8430989384651184,0.6622995734214783,0.7608200311660767
cnn_skip_pool_tf_qat,2,0.3831446170806885,0.8606770634651184,0.6894118785858154,0.76765376329422
cnn_skip_pool_tf_qat,3,0.3814869225025177,0.859375,0.6767098903656006,0.7699316740036011
cnn_skip_pool_tf_qat,4,0.37613368034362793,0.8606770634651184,0.6802939176559448,0.7585421204566956
cnn_skip_pool_tf_qat,5,0.36702775955200195,0.869140625,0.6812708973884583,0.751708447933197
